company_id,company_name,num_laid_off,pct_laid_off,industry,office,country_code,country,region,continent,date_announced,year,quarter,month,weekday,week,stage,mn_raised_dollar,source
1583,MoonPay,30,0.1,Crypto,Dover,USA,United States,Northern America,North America,2024-06-05,2024,Q2,6,Wednesday,23,Unknown,651,https://www.theblock.co/post/298638/moonpay-lays-off-10-staff
1780,Pagaya,100,0.2,Finance,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-06-05,2024,Q2,6,Wednesday,23,Post-IPO,2000,https://www.calcalistech.com/ctechnews/article/h19floaec
2733,Yext,NA,0.12,Marketing,New York City,USA,United States,Northern America,North America,2024-06-05,2024,Q2,6,Wednesday,23,Post-IPO,117,https://www.investing.com/news/economy-news/yext-announces-12-workforce-reduction-to-boost-profitability-93CH-3471417
590,Copia,1060,NA,Retail,Nairobi,KEN,Kenya,Sub-Saharan Africa,Africa,2024-06-06,2024,Q2,6,Thursday,23,Series C,103,https://techcabal.com/2024/06/06/copia-layoffs-kenya/
2178,Simpl,30,NA,Finance,Bengaluru,IND,India,Southern Asia,Asia,2024-06-06,2024,Q2,6,Thursday,23,Series B,72,https://economictimes.indiatimes.com/tech/startups/bnpl-startup-simpl-undertakes-another-round-of-layoffs-rejigs-senior-leadership/articleshow/110764659.cms?from=mdr
2030,Revel,1000,NA,Transportation,New York City,USA,United States,Northern America,North America,2024-06-06,2024,Q2,6,Thursday,23,Unknown,214,https://techcrunch.com/2024/06/06/revels-latest-pivot-ditching-all-employee-ride-hail-in-favor-of-gig-worker-model/
1320,Kissflow,45,0.11,Other,Chennai,IND,India,Southern Asia,Asia,2024-06-10,2024,Q2,6,Monday,24,Unknown,1,https://economictimes.indiatimes.com/tech/startups/bootstrapped-saas-startup-kissflow-culls-11-workforce/articleshow/110875509.cms?from=mdr
1817,Paytm,3500,NA,Finance,Noida,IND,India,Southern Asia,Asia,2024-06-10,2024,Q2,6,Monday,24,Subsidiary,NA,https://www.livemint.com/companies/news/paytm-layoffs-fitench-hands-pink-slip-to-employees-after-rbi-ban-on-paytm-payments-bank-services-11718005572975.html
1362,Ladenzeile,NA,1,Retail,Berlin,DEU,Germany,Western Europe,Europe,2024-06-11,2024,Q2,6,Tuesday,24,Subsidiary,NA,https://t3n.de/news/ladenzeile-macht-dicht-das-sind-die-gruende-fuer-das-ende-des-e-commerce-aggregators-1629334/
1808,Paxos,65,0.2,Crypto,New York City,USA,United States,Northern America,North America,2024-06-12,2024,Q2,6,Wednesday,24,Unknown,543,https://www.bloomberg.com/news/articles/2024-06-12/stablecoin-issuer-paxos-cuts-20-of-workforce?embedded-checkout=true
2641,VRChat,NA,0.3,Consumer,SF Bay Area,USA,United States,Northern America,North America,2024-06-12,2024,Q2,6,Wednesday,24,Series D,95,https://ask.vrchat.com/t/an-email-from-our-ceo/25060
389,Bytedance,450,NA,Consumer,Jakarta,IDN,Indonesia,South-eastern Asia,Asia,2024-06-12,2024,Q2,6,Wednesday,24,Unknown,9400,https://www.bloomberg.com/news/articles/2024-06-12/bytedance-to-cut-450-jobs-in-indonesia-after-tokopedia-deal
2111,SCiFi Foods,NA,1,Food,SF Bay Area,USA,United States,Northern America,North America,2024-06-12,2024,Q2,6,Wednesday,24,Series A,39,https://www.sfgate.com/tech/article/bay-area-lab-meat-company-shuts-down-19511362.php
1521,Medtronic,NA,NA,Healthcare,SF Bay Area,USA,United States,Northern America,North America,2024-06-13,2024,Q2,6,Thursday,24,Post-IPO,5900,https://www.massdevice.com/medtronic-layoffs-global-confirmed/
644,Cypress.io,11,NA,Product,Atlanta,USA,United States,Northern America,North America,2024-06-14,2024,Q2,6,Friday,24,Series B,54,https://www.cypress.io/blog/2024/06/13/update-on-cypresss-workforce
2102,Satellogic,70,0.3,Aerospace,Montevideo,URY,Uruguay,Latin America and the Caribbean,South America,2024-06-14,2024,Q2,6,Friday,24,Post-IPO,424,https://spacenews.com/satellogic-announces-new-round-of-layoffs/
427,Care/of,143,1,Healthcare,New York City,USA,United States,Northern America,North America,2024-06-15,2024,Q2,6,Saturday,24,Acquired,83,https://techcrunch.com/2024/06/15/subscription-vitamin-company-care-of-is-shutting-down/
2069,Running Tide,NA,1,Energy,Portland,USA,United States,Northern America,North America,2024-06-15,2024,Q2,6,Saturday,24,Series B,54,https://www.pressherald.com/2024/06/15/portland-startup-that-became-global-leader-in-capturing-carbon-shuts-down-lays-off-all-staff/
1446,LOOP,23,0.77,Finance,Austin,USA,United States,Northern America,North America,2024-06-16,2024,Q2,6,Sunday,24,Series A,34,https://www.coverager.com/loop-goes-through-another-round-of-layoffs/
474,Chegg,441,0.23,Education,SF Bay Area,USA,United States,Northern America,North America,2024-06-17,2024,Q2,6,Monday,25,Post-IPO,227,https://www.businesswire.com/news/home/20240617323391/en/Chegg-Announces-Restructuring-Plan-and-New-Vision-for-Growth
2556,Unit,NA,0.15,Finance,New York City,USA,United States,Northern America,North America,2024-06-17,2024,Q2,6,Monday,25,Series C,170,https://www.unit.co/a-note-to-our-team
2278,Stackpath,NA,1,Infrastructure,Dallas,USA,United States,Northern America,North America,2024-06-17,2024,Q2,6,Monday,25,Series B,396,https://www.datacenterdynamics.com/en/news/stackpath-to-close-down-liquidate-assets/
1813,PayPal,85,NA,Finance,SF Bay Area,IRL,Ireland,Northern Europe,Europe,2024-06-18,2024,Q2,6,Tuesday,25,Post-IPO,216,https://www.irishexaminer.com/business/companies/arid-41418832.html
895,Fisker,NA,1,Transportation,Los Angeles,USA,United States,Northern America,North America,2024-06-18,2024,Q2,6,Tuesday,25,Post-IPO,1700,https://www.wsj.com/business/autos/electric-vehicle-startup-fisker-files-for-bankruptcy-0a3eb7d6
1978,Rapyd,30,NA,Finance,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-06-18,2024,Q2,6,Tuesday,25,Unknown,770,https://www.calcalistech.com/ctechnews/article/h1vvoykur
2678,Wex,375,0.05,Finance,Portland,USA,United States,Northern America,North America,2024-06-18,2024,Q2,6,Tuesday,25,Post-IPO,400,https://www.pressherald.com/2024/06/18/wex-is-laying-off-375-employees-worldwide/
391,C2FO,16,NA,Finance,Kansas City,USA,United States,Northern America,North America,2024-06-18,2024,Q2,6,Tuesday,25,Series H,537,https://www.bizjournals.com/kansascity/news/2024/06/18/c2fo-layoffs-supplier-relations-managers.html
1588,Moovit,20,0.1,Transportation,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-06-19,2024,Q2,6,Wednesday,25,Acquired,131,https://www.calcalistech.com/ctechnews/article/h10s7illc
795,Emma Sleep,200,0.18,Retail,Frankfurt,DEU,Germany,Western Europe,Europe,2024-06-19,2024,Q2,6,Wednesday,25,Acquired,NA,https://www.wiwo.de/unternehmen/handel/matratzenhersteller-in-der-krise-emma-entlaesst-jeden-fuenften-mitarbeiter/29856880.html
2025,ReshaMandi,NA,0.8,Food,Bengaluru,IND,India,Southern Asia,Asia,2024-06-20,2024,Q2,6,Thursday,25,Unknown,54,https://economictimes.indiatimes.com/tech/startups/fund-crunch-forces-reshamandi-to-lay-off-80-employees/articleshow/111119052.cms?from=mdr
